spent,date,shown,link
Spent ₹250 – ₹500,From 13 Apr - 9 May 2024 (24 days),Shown 1K – 2K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16732717974149922817?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 21 Apr - 5 May 2024 (12 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16699826083805003777?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 21 Apr - 22 May 2024 (31 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16694478059247501313?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹500 – ₹750,From 13 Apr - 29 May 2024 (47 days),Shown 2K – 3K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16693030002433720321?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹500 – ₹750,From 14 Apr - 30 May 2024 (35 days),Shown 5K – 6K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16681876556481560577?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹300K – ₹350K,From 14 Apr - 31 May 2024 (35 days),Shown 2.5M – 3M times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16631967524673552385?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹8K – ₹9K,From 21 Apr - 17 May 2024 (23 days),Shown 30K – 35K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16624672265023258625?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹250 – ₹500,From 14 Apr - 30 May 2024 (35 days),Shown 2K – 3K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16614744774536069121?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹250 – ₹500,From 23 Apr - 18 May 2024 (26 days),Shown 1K – 2K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16574697262517583873?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹250 – ₹500,From 14 Apr - 24 May 2024 (32 days),Shown 3K – 4K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16543109392963207169?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
